id,diameter_um,R_m,Z_m,time_s,terminal_fate,initial_atoms
3,40,0.55764820858158,0.41743982671758,0.1939999999999999,evaporated_in_SOL,1552784850956868.2
4,40,0.5446747195764,0.42764484866212,0.1979999999999999,evaporated_in_SOL,1552784850956868.2
5,40,0.56229461979919,0.41105529185829,0.208,evaporated_in_SOL,1552784850956868.2
8,40,0.54886493704449,0.42689680836219,0.177,evaporated_in_SOL,1552784850956868.2
9,40,0.54529009450084,0.42387006186511,0.184,evaporated_in_SOL,1552784850956868.2
10,40,0.56938392575904,0.40543123929722,0.1949999999999999,evaporated_in_SOL,1552784850956868.2
13,40,0.54171006675586,0.42872124882852,0.163,evaporated_in_SOL,1552784850956868.2
14,40,0.5458976372602,0.42339033640369,0.1709999999999999,evaporated_in_SOL,1552784850956868.2
15,40,0.57609350222598,0.40052727563498,0.183,evaporated_in_SOL,1552784850956868.2
17,40,0.57159679580376,0.40792506380218,0.1969999999999999,evaporated_in_SOL,1552784850956868.2
18,40,0.53323279095719,0.43809456107755,0.1949999999999999,evaporated_in_SOL,1552784850956868.2
19,40,0.54778244954822,0.42084097720576,0.204,evaporated_in_SOL,1552784850956868.2
20,40,0.57099074346288,0.40506025192331,0.214,evaporated_in_SOL,1552784850956868.2
22,40,0.5709384801968,0.40828203062133,0.181,evaporated_in_SOL,1552784850956868.2
23,40,0.53120183855488,0.43528014770123,0.18,evaporated_in_SOL,1552784850956868.2
24,40,0.5503353699581,0.4216470141838,0.189,evaporated_in_SOL,1552784850956868.2
25,40,0.57986073634948,0.39720845432189,0.2009999999999999,evaporated_in_SOL,1552784850956868.2
27,40,0.5656467989562,0.41221282402395,0.1659999999999999,evaporated_in_SOL,1552784850956868.2
28,40,0.52886849363154,0.43772986042528,0.1659999999999999,evaporated_in_SOL,1552784850956868.2
29,40,0.55303155913449,0.4188782514411,0.176,evaporated_in_SOL,1552784850956868.2
30,40,0.58788000248205,0.39006990837159,0.189,evaporated_in_SOL,1552784850956868.2
33,60,0.53416210514246,0.43060951470883,0.1939999999999999,evaporated_in_SOL,5240648871979430.0
34,60,0.54003653861029,0.42559580242951,0.2009999999999999,evaporated_in_SOL,5240648871979430.0
35,60,0.56250828322057,0.40655262025223,0.211,evaporated_in_SOL,5240648871979430.0
38,60,0.52960097526222,0.43471677614981,0.178,evaporated_in_SOL,5240648871979430.0
39,60,0.54348016885228,0.420619728586,0.187,evaporated_in_SOL,5240648871979430.0
40,60,0.57062151484972,0.39931410268857,0.1979999999999999,evaporated_in_SOL,5240648871979430.0
43,60,0.52593113528074,0.43736899027475,0.1639999999999999,evaporated_in_SOL,5240648871979430.0
44,60,0.54553113957079,0.41858741588544,0.174,evaporated_in_SOL,5240648871979430.0
45,60,0.57791439772217,0.39307994583484,0.186,evaporated_in_SOL,5240648871979430.0
47,60,0.5299778522215,0.43746394410352,0.193,evaporated_in_SOL,5240648871979430.0
48,60,0.52751026650841,0.43572215673914,0.1979999999999999,evaporated_in_SOL,5240648871979430.0
49,60,0.54871115292849,0.41622756832379,0.207,evaporated_in_SOL,5240648871979430.0
50,60,0.57315816586865,0.39704983982158,0.217,evaporated_in_SOL,5240648871979430.0
52,60,0.52883221775332,0.43779915201123,0.177,evaporated_in_SOL,5240648871979430.0
53,60,0.52559588192205,0.4383169876256,0.182,evaporated_in_SOL,5240648871979430.0
54,60,0.55121028002559,0.41541722234869,0.192,evaporated_in_SOL,5240648871979430.0
55,60,0.58292210580378,0.38779532238753,0.204,evaporated_in_SOL,5240648871979430.0
57,60,0.52724711716324,0.43694979047542,0.163,evaporated_in_SOL,5240648871979430.0
