case,diameter_um,grains,entered_lcfs,entered_core,lower_wall,evaporated,median_min_psi_n,median_terminal_Z_m,median_max_temperature_K,entered_lcfs_fraction,entered_core_fraction,lower_wall_fraction,evaporated_fraction
dt0p5us,40,30,0,0,0,21,1.0615557410966345,0.408103547211755,1279.781762986,0.0,0.0,0.0,0.7
dt0p5us,60,30,0,0,0,21,1.051529542593135,0.40888551902722503,1319.61013771285,0.0,0.0,0.0,0.7
dt0p5us,80,30,0,0,0,25,1.041693319100935,0.40834255711792,1319.6103070901,0.0,0.0,0.0,0.8333333333333334
dt0p5us,100,30,0,0,0,26,1.034160494212129,0.41271781251694,1353.4086996815,0.0,0.0,0.0,0.8666666666666667
dt0p5us,125,30,0,0,0,27,1.0276674651632907,0.41457599595281003,1389.73995126425,0.0,0.0,0.0,0.9
dt0p5us,150,30,0,0,0,27,1.0227550183325989,0.415414150276535,1416.5088451596,0.0,0.0,0.0,0.9
dt0p5us,200,30,0,0,0,28,1.01592302000027,0.41837883220291,1449.7103104071998,0.0,0.0,0.0,0.9333333333333333
dt0p5us,250,30,2,0,0,28,1.008105721166531,0.414379691160485,1480.84826524165,0.06666666666666667,0.0,0.0,0.9333333333333333
dt0p5us,300,30,13,0,0,29,1.0024761086203084,0.41485642862243,1492.91658017315,0.43333333333333335,0.0,0.0,0.9666666666666667
dt1us,40,30,0,0,0,21,1.061556407699414,0.40810325896309996,1279.7817629861,0.0,0.0,0.0,0.7
dt1us,60,30,0,0,0,21,1.051529995126909,0.408886002929235,1319.6101667829998,0.0,0.0,0.0,0.7
dt1us,80,30,0,0,0,25,1.0416930002634615,0.408341770927345,1319.6103070901,0.0,0.0,0.0,0.8333333333333334
dt1us,100,30,0,0,0,26,1.0341604194050773,0.412717306002975,1353.4086996815,0.0,0.0,0.0,0.8666666666666667
dt1us,125,30,0,0,0,27,1.0276665603384139,0.41457577457530004,1389.73995126425,0.0,0.0,0.0,0.9
dt1us,150,30,0,0,0,27,1.0227560579377224,0.41541447408154497,1416.25827179835,0.0,0.0,0.0,0.9
dt1us,200,30,0,0,0,28,1.0159234829641384,0.418378930377725,1449.7103104071998,0.0,0.0,0.0,0.9333333333333333
dt1us,250,30,2,0,0,28,1.008104503112029,0.41437927497126,1480.8482652417001,0.06666666666666667,0.0,0.0,0.9333333333333333
dt1us,300,30,13,0,0,29,1.0024756042282867,0.414855658632145,1492.90994033095,0.43333333333333335,0.0,0.0,0.9666666666666667
dt2us,40,30,0,0,0,21,1.0615619289765708,0.40810345407864,1279.7817629861,0.0,0.0,0.0,0.7
dt2us,60,30,0,0,0,21,1.0515314674253795,0.40888620667368003,1319.61022761865,0.0,0.0,0.0,0.7
dt2us,80,30,0,0,0,25,1.0416935729682906,0.408342570451945,1319.6103070901,0.0,0.0,0.0,0.8333333333333334
dt2us,100,30,0,0,0,26,1.034160129624088,0.41271824613741004,1353.4086996815,0.0,0.0,0.0,0.8666666666666667
dt2us,125,30,0,0,0,27,1.0276661600963641,0.41457604222505,1389.7399512642,0.0,0.0,0.0,0.9
dt2us,150,30,0,0,0,27,1.0227552874887507,0.415414338755555,1417.0218287876,0.0,0.0,0.0,0.9
dt2us,200,30,0,0,0,28,1.0159235943743616,0.41837923100523,1449.7103104071998,0.0,0.0,0.0,0.9333333333333333
dt2us,250,30,2,0,0,28,1.0081042367213464,0.414379491635795,1480.8482652418,0.06666666666666667,0.0,0.0,0.9333333333333333
dt2us,300,30,13,0,0,29,1.0024751169286055,0.414855738135,1492.908602152,0.43333333333333335,0.0,0.0,0.9666666666666667
