case,id,dropper_line,speed_m_s,angle_deg,entered_core,crossed_lower_core_alive,terminal_fate,last_time_s,last_Z_m,last_R_m,min_Z_m,min_psi_n,last_radius_um,last_temperature_K,wall_distance_mm,closest_wall_segment,max_a_over_lambdaD,fraction_samples_a_over_lambdaD_gt_1
ballistic,12,16,1.5,-7.5,True,True,lower_wall,0.436,-0.73852436223223,0.41759177159966,-0.73852436223223,0.2238910042672877,50.0,293.15,1.117173518466295,108,,
ballistic,13,16,1.5,0.0,True,True,lower_wall,0.45199999999999996,-0.8377386228934,0.50295590131482,-0.8377386228934,0.06876769929554066,50.0,293.15,4.426172727540331,105,,
ballistic,14,16,1.5,7.5,True,True,lower_wall,0.45799999999999996,-0.86761524265706,0.5926273953734,-0.86761524265706,0.0032526012518001735,50.0,293.15,3.0440109877413386,102,,
ballistic,15,16,1.5,15.0,True,True,lower_wall,0.40599999999999997,-0.55459425110446,0.66057669977143,-0.55459425110446,0.06027505248376531,50.0,293.15,3.790748895539986,80,,
ballistic,16,17,1.0,-15.0,True,True,lower_wall,0.472,-0.70254783009237,0.39274554486791,-0.70254783009237,0.27997652265676154,50.0,293.15,1.715547003549506,109,,
ballistic,17,17,1.0,-7.5,True,True,lower_wall,0.486,-0.79419184271126,0.45147240473938,-0.79419184271126,0.14311979080174816,50.0,293.15,0.37147319945422186,106,,
ballistic,18,17,1.0,0.0,True,True,lower_wall,0.494,-0.84476564008338,0.51490813415941,-0.84476564008338,0.045906055433638134,50.0,293.15,1.204740140165766,104,,
ballistic,19,17,1.0,7.5,True,True,lower_wall,0.498,-0.86394838104744,0.57991017789668,-0.86394838104744,0.003579576728406989,50.0,293.15,1.827779979329085,103,,
ballistic,20,17,1.0,15.0,True,True,lower_wall,0.44799999999999995,-0.571173610262,0.63085906635737,-0.571173610262,0.029973603577015864,50.0,293.15,0.9166536443338412,81,,
ballistic,21,17,1.25,-15.0,True,True,lower_wall,0.446,-0.66818128824068,0.37061651651357,-0.66818128824068,0.3357104880188637,50.0,293.15,3.365315703410987,110,,
ballistic,22,17,1.25,-7.5,True,True,lower_wall,0.46199999999999997,-0.77342424752756,0.43952925815801,-0.77342424752756,0.1646137019110531,50.0,293.15,0.5629024719351429,107,,
ballistic,23,17,1.25,0.0,True,True,lower_wall,0.473,-0.84251134008391,0.51490813415941,-0.84251134008391,0.04589630781939707,50.0,293.15,3.3633967448819884,104,,
ballistic,24,17,1.25,7.5,True,True,lower_wall,0.478,-0.86694914475465,0.59289753400501,-0.86694914475465,0.001982049777371929,50.0,293.15,3.7622514628824675,102,,
ballistic,25,17,1.25,15.0,True,True,lower_wall,0.426,-0.5585771425839,0.65272927566703,-0.5585771425839,0.05876855227913306,50.0,293.15,1.2954080076209264,81,,
ballistic,26,17,1.5,-15.0,True,True,lower_wall,0.423,-0.64462127686547,0.35068745004247,-0.64462127686547,0.3844163648857206,50.0,293.15,1.0570394589158312,112,,
ballistic,27,17,1.5,-7.5,True,True,lower_wall,0.439,-0.75218858129935,0.42895663657924,-0.75218858129935,0.18501214038842115,50.0,293.15,2.8376355449391863,107,,
ballistic,28,17,1.5,0.0,True,True,lower_wall,0.45399999999999996,-0.84595764008435,0.51490813415941,-0.84595764008435,0.04594235912944195,50.0,293.15,0.06331323357783222,104,,
ballistic,29,17,1.5,7.5,True,True,lower_wall,0.45999999999999996,-0.87592619443214,0.60497120679467,-0.87592619443214,0.004285324697790752,50.0,293.15,0.5538866195428571,102,,
ballistic,30,17,1.5,15.0,True,True,lower_wall,0.407,-0.55636705703487,0.67291716118364,-0.55636705703487,0.09265817725672287,50.0,293.15,2.0179429651300262,80,,
dustt2005_corefill,1,16,1.0,-15.0,False,False,upper_or_side_wall,0.248,0.17953816545657,0.97907497463234,0.17953816545657,1.1871336587123975,46.421694802282,832.17822948192,0.2547145946240953,56,3.3788021647839,0.5983935742971888
dustt2005_corefill,2,16,1.0,-7.5,False,False,evaporated_in_SOL,0.19499999999999998,0.41841277884598,0.54743620051521,0.41841277884598,1.0427984227383886,5.3201141791217,1319.6103052091,166.24058042577946,40,3.7433574212379,0.6530612244897959
dustt2005_corefill,3,16,1.0,0.0,False,False,evaporated_in_SOL,0.19699999999999998,0.43153921882946,0.52469763281967,0.43153921882946,1.0356084208125769,6.2193977968356,1353.4086988734,168.21285391920952,40,3.6056560634082,0.5707070707070707
dustt2005_corefill,4,16,1.0,7.5,False,False,evaporated_in_SOL,0.205,0.41831116101515,0.54034972529709,0.41831116101515,1.0290904076010872,7.2806959797131,1389.739951607,169.96020567141784,40,3.646656453586,0.5194174757281553
dustt2005_corefill,5,16,1.0,15.0,False,False,evaporated_in_SOL,0.214,0.40149301151255,0.56332270124149,0.40149301151255,1.0291571062627611,14.045994232263,1392.56188322,173.29276980977838,41,3.5939009799326,0.3581395348837209
dustt2005_corefill,6,16,1.25,-15.0,False,False,upper_or_side_wall,0.22799999999999998,0.19006420563386,0.97592416328325,0.19006420563386,1.1815883664641127,46.645200200865,833.67667875222,0.5395989360421967,56,3.3788021647954,0.6157205240174672
dustt2005_corefill,7,16,1.25,-7.5,False,False,evaporated_in_SOL,0.179,0.4190403222612,0.54697272860097,0.4190403222612,1.0435582684923694,5.248649483584099,1319.6103052091,165.92791246830967,40,3.7440318281177,0.6833333333333333
dustt2005_corefill,8,16,1.25,0.0,False,False,evaporated_in_SOL,0.181,0.43477204451879,0.52090388957962,0.43477204451879,1.0374737672515182,9.438764831675,1353.4086996815,168.14278233131554,40,3.6067185095549,0.5934065934065934
dustt2005_corefill,9,16,1.25,7.5,False,False,evaporated_in_SOL,0.19,0.41757976355286,0.54197285629047,0.41757976355286,1.0302716734230608,11.237272239099001,1389.7399505902,169.7338766942821,40,3.5750572195668,0.5235602094240838
dustt2005_corefill,10,16,1.25,15.0,False,False,evaporated_in_SOL,0.20099999999999998,0.39271716247577,0.57270113697874,0.39271716247577,1.0239097985889598,11.048976218034,1392.5618858161,176.4310868620767,41,3.5950483869349,0.3415841584158416
dustt2005_corefill,11,16,1.5,-15.0,False,False,upper_or_side_wall,0.19899999999999998,0.24333404176539,0.95732705052174,0.24333404176539,1.173931063628215,46.320443429455,838.03210699414,4.540421269950003,55,4.1364697092566,0.615
dustt2005_corefill,12,16,1.5,-7.5,False,False,evaporated_in_SOL,0.16399999999999998,0.424710937503,0.54049093370092,0.424710937503,1.0459298763372986,7.471098149212399,1319.6103052091,164.48224967523072,40,3.9955736202438,0.703030303030303
dustt2005_corefill,13,16,1.5,0.0,False,False,evaporated_in_SOL,0.16699999999999998,0.43642673219057,0.51850058515957,0.43642673219057,1.0380326264155897,10.825042405701,1353.4087002673,168.46932808084685,40,3.6109181731346,0.6071428571428571
dustt2005_corefill,14,16,1.5,7.5,False,False,evaporated_in_SOL,0.177,0.41402320781501,0.54544747543983,0.41402320781501,1.027582887482929,8.9219548483081,1389.739951607,171.0386363078997,40,3.5894971808146,0.5224719101123596
dustt2005_corefill,15,16,1.5,15.0,False,False,evaporated_in_SOL,0.189,0.38503196122199,0.58105992900633,0.38503196122199,1.020613237963014,7.9884860530853,1430.5842718657,179.61438773558655,41,3.5858325661959,0.33157894736842103
dustt2005_corefill,16,17,1.0,-15.0,False,False,evaporated_in_SOL,0.19999999999999998,0.40601806508608,0.56868087916602,0.40601806508608,1.0557700971272874,8.578666390541299,1280.8953285597,166.73387489992868,41,3.9954668473876,0.6218905472636815
dustt2005_corefill,17,17,1.0,-7.5,False,False,evaporated_in_SOL,0.19499999999999998,0.44259941317999,0.51371303728662,0.44259941317999,1.0439525846858573,10.218578416396,1319.6103052092,167.1903582439252,40,3.6996124974556,0.5561224489795918
dustt2005_corefill,18,17,1.0,0.0,False,False,evaporated_in_SOL,0.20199999999999999,0.42858653060483,0.52692723451995,0.42858653060483,1.0319290987906156,7.4969331569312,1353.4086988734,169.15612676952898,40,3.6372652808249,0.5172413793103449
dustt2005_corefill,19,17,1.0,7.5,False,False,evaporated_in_SOL,0.21,0.41141328445981,0.54937701457956,0.41141328445981,1.0281388260679207,8.7227711084775,1392.5618847902,171.4012170173642,41,3.5909261525552,0.38388625592417064
dustt2005_corefill,20,17,1.0,15.0,False,False,evaporated_in_SOL,0.22,0.38864241394236,0.57664794670375,0.38864241394236,1.0205797527566807,7.0408066750839,1430.5842718657,178.25051667526628,41,3.5951115831337,0.2895927601809955
dustt2005_corefill,21,17,1.25,-15.0,False,False,evaporated_in_SOL,0.20099999999999998,0.34091728484192,0.64183415398743,0.34091728484192,1.0665093678304163,6.5575861399574995,1283.3702104527,207.93322338250692,41,4.0890295962596,0.6782178217821783
dustt2005_corefill,22,17,1.25,-7.5,False,False,evaporated_in_SOL,0.179,0.44232475741456,0.51303604922519,0.44232475741456,1.042357443512074,8.136341297836,1319.6103052091,167.85896758624517,40,3.7444170569779,0.5722222222222222
dustt2005_corefill,23,17,1.25,0.0,False,False,evaporated_in_SOL,0.186,0.43009601429351,0.52513615484623,0.43009601429351,1.0327118384355993,9.6798554895413,1353.4086996815,169.06781179347374,40,3.6367754766813,0.5347593582887701
dustt2005_corefill,24,17,1.25,7.5,False,False,evaporated_in_SOL,0.19499999999999998,0.40892865143572,0.55265644682864,0.40892865143572,1.0284273048423203,10.377520583995,1392.5618854741,171.9786994224536,41,3.5917675017339,0.3826530612244898
dustt2005_corefill,25,17,1.25,15.0,False,False,evaporated_in_SOL,0.206,0.38368679820418,0.584393632561,0.38368679820418,1.0252663831152387,14.440299206203001,1392.5618861585,179.48760910301706,41,3.5857911658339,0.28502415458937197
dustt2005_corefill,26,17,1.5,-15.0,False,False,upper_or_side_wall,0.239,0.11105167362111,0.9824932038618,0.11105167362111,1.1416059472678688,32.663963199274,823.24789335414,4.718796138200032,58,4.1368647368183,0.5791666666666667
dustt2005_corefill,27,17,1.5,-7.5,False,False,evaporated_in_SOL,0.16499999999999998,0.4414535857381,0.51290654003155,0.4414535857381,1.0403839114521571,5.7849664515829,1319.6103052091,168.57460899434065,40,3.7444190813608,0.5783132530120482
dustt2005_corefill,28,17,1.5,0.0,False,False,evaporated_in_SOL,0.172,0.43004448943455,0.52448352050616,0.43004448943455,1.0314739324209699,9.7998534923107,1353.4086996815,169.51391174502245,40,3.650344252351,0.5491329479768786
dustt2005_corefill,29,17,1.5,7.5,False,False,evaporated_in_SOL,0.182,0.40348668303019,0.55752890847421,0.40348668303019,1.0231332807415705,5.301518366360701,1430.5842707291,174.36643351477898,41,3.5940709519495,0.3879781420765027
dustt2005_corefill,30,17,1.5,15.0,False,False,evaporated_in_SOL,0.19399999999999998,0.37452708934777,0.59367967569381,0.37452708934777,1.0216622971903904,8.9006584498817,1431.9615102961,184.6024294242854,41,3.5966446536473,0.27692307692307694
