case,heat_scale,diameter_um,grains,entered_lcfs,entered_core,lower_wall,evaporated,median_min_psi_n,median_terminal_Z_m,median_max_temperature_K,entered_lcfs_fraction,entered_lcfs_lo95,entered_lcfs_hi95,entered_core_fraction,entered_core_lo95,entered_core_hi95,lower_wall_fraction,lower_wall_lo95,lower_wall_hi95,evaporated_fraction,evaporated_lo95,evaporated_hi95
hs000,0.0,40,30,1,0,0,0,1.026977833067301,0.26918770328869,293.216003675155,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876
hs000,0.0,60,30,5,0,0,0,1.021318272314327,0.27117171952943,293.19575650206,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876
hs000,0.0,80,30,8,0,0,0,1.0146093593908567,0.242635524196685,293.184582502445,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876
hs000,0.0,100,30,13,0,0,0,1.007398270859361,0.227183320525205,293.17881992624,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876
hs000,0.0,125,30,16,0,0,0,0.9963466893437118,0.202299669608965,293.173166768135,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876
hs000,0.0,150,30,18,0,1,0,0.9789682037444994,0.149062339464755,293.17117144663996,0.6,0.42320360253322475,0.7540937188319815,0.0,0.0,0.11351339317396876,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.0,0.0,0.11351339317396876
hs000,0.0,200,30,21,0,5,0,0.9133581419218486,0.0599635902765515,293.167217198055,0.7,0.5212421254128504,0.8333525173175619,0.0,0.0,0.11351339317396876,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.0,0.0,0.11351339317396876
hs000,0.0,250,30,24,6,8,0,0.8125246683061967,0.008839327730930999,293.165097485395,0.8,0.6269430358685175,0.9049489282271013,0.2,0.0950510717728987,0.3730569641314825,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.0,0.0,0.11351339317396876
hs000,0.0,300,30,26,10,11,0,0.6900660363123536,-0.0773868820688565,293.163557012245,0.8666666666666667,0.703186733179637,0.9469034451594526,0.3333333333333333,0.19230498083676134,0.5121994835545616,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.0,0.0,0.11351339317396876
hs025,0.25,40,30,0,0,0,8,1.0288675212165233,0.29035612813735,1256.37174341175,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.26666666666666666,0.14182663319596317,0.4444796169518888
