case,heat_scale,diameter_um,grains,entered_lcfs,entered_core,lower_wall,evaporated,median_min_psi_n,median_terminal_Z_m,median_max_temperature_K,entered_lcfs_fraction,entered_lcfs_lo95,entered_lcfs_hi95,entered_core_fraction,entered_core_lo95,entered_core_hi95,lower_wall_fraction,lower_wall_lo95,lower_wall_hi95,evaporated_fraction,evaporated_lo95,evaporated_hi95
hs025,0.25,60,30,1,0,0,8,1.0253083723008984,0.302869964737475,1270.9630958046,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.26666666666666666,0.14182663319596317,0.4444796169518888
hs025,0.25,80,30,6,0,0,10,1.018775460042554,0.31839977579459,1287.11985920385,0.2,0.0950510717728987,0.3730569641314825,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.3333333333333333,0.19230498083676134,0.5121994835545616
hs025,0.25,100,30,10,0,0,13,1.0124458179119091,0.324859318232255,1319.6734094782,0.3333333333333333,0.19230498083676134,0.5121994835545616,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.43333333333333335,0.2737748557646652,0.6080269299918639
hs025,0.25,125,30,14,0,0,15,1.0037502858805634,0.34252426720942,1345.5665242207,0.4666666666666667,0.30232388907699753,0.638577003801267,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.5,0.33154125640533766,0.6684587435946623
hs025,0.25,150,30,16,0,0,17,0.9934913401151939,0.3627040733084,1388.0372361511,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.5666666666666667,0.3919730700081361,0.7262251442353347
hs025,0.25,200,30,21,0,0,21,0.9777588823454542,0.37909237134271,1423.03719731295,0.7,0.5212421254128504,0.8333525173175619,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs025,0.25,250,30,24,0,0,24,0.9629548303642836,0.38667387922130003,1461.1739266406998,0.8,0.6269430358685175,0.9049489282271013,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8,0.6269430358685175,0.9049489282271013
hs025,0.25,300,30,25,0,0,24,0.9537519748640437,0.38445238448601005,1472.81728483445,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8,0.6269430358685175,0.9049489282271013
hs050,0.5,40,30,0,0,0,21,1.0348825437337688,0.388573572983825,1285.6900373763,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs050,0.5,60,30,0,0,0,21,1.0301763470862864,0.39510174881547,1318.3699424881,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs050,0.5,80,30,0,0,0,24,1.024569970733454,0.394826386895905,1337.08217566855,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8,0.6269430358685175,0.9049489282271013
hs050,0.5,100,30,0,0,0,19,1.0185408398837734,0.381819223541805,1353.2600596523,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.6333333333333333,0.4551356365479487,0.7812607919389929
hs050,0.5,125,30,6,0,0,21,1.011453888105975,0.38956743946234,1391.19124264225,0.2,0.0950510717728987,0.3730569641314825,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs050,0.5,150,30,9,0,0,21,1.0053823466389573,0.387473572782095,1409.4054392518,0.3,0.16664748268243793,0.47875787458714947,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs050,0.5,200,30,18,0,0,24,0.9958784614510238,0.39773345709727503,1466.44337667225,0.6,0.42320360253322475,0.7540937188319815,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8,0.6269430358685175,0.9049489282271013
hs050,0.5,250,30,21,0,0,24,0.9886767985224091,0.39757397263741,1487.04696307115,0.7,0.5212421254128504,0.8333525173175619,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8,0.6269430358685175,0.9049489282271013
hs050,0.5,300,30,24,0,0,26,0.9838655449539846,0.39771748430097,1506.69349650655,0.8,0.6269430358685175,0.9049489282271013,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8666666666666667,0.703186733179637,0.9469034451594526
hs075,0.75,40,30,0,0,0,21,1.0509903402803278,0.40089091342710503,1292.07992601365,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs075,0.75,60,30,0,0,0,21,1.0372750026461452,0.40438589792243995,1324.4404781127,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs075,0.75,80,30,0,0,0,25,1.0319585168681056,0.401977937690585,1341.812438529,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8333333333333334,0.6643564949358398,0.9266345762815145
hs075,0.75,100,30,0,0,0,26,1.0260939704463539,0.407654488937245,1359.1843968553999,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8666666666666667,0.703186733179637,0.9469034451594526
hs075,0.75,125,30,0,0,0,27,1.0200208936863253,0.40696440827165,1396.3419525788,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9,0.7437891742081593,0.9654001112526658
hs075,0.75,150,30,0,0,0,26,1.0157812951208265,0.40812649590564,1408.6273453564,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8666666666666667,0.703186733179637,0.9469034451594526
hs075,0.75,200,30,5,0,0,25,1.0043193606428469,0.40479801563353,1456.27518168685,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8333333333333334,0.6643564949358398,0.9266345762815145
hs075,0.75,250,30,18,0,0,26,0.9978501089375822,0.404709264962255,1498.1633734216,0.6,0.42320360253322475,0.7540937188319815,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8666666666666667,0.703186733179637,0.9469034451594526
hs075,0.75,300,30,21,0,0,28,0.9935937017774497,0.41116144008870503,1518.519583462,0.7,0.5212421254128504,0.8333525173175619,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9333333333333333,0.7867654163738308,0.9815229762087295
hs100,1.0,40,30,0,0,0,21,1.0615619289765708,0.40810345407864,1279.7817629861,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs100,1.0,60,30,0,0,0,21,1.0515314674253795,0.40888620667368003,1319.61022761865,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs100,1.0,80,30,0,0,0,25,1.0416935729682906,0.408342570451945,1319.6103070901,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8333333333333334,0.6643564949358398,0.9266345762815145
hs100,1.0,100,30,0,0,0,26,1.034160129624088,0.41271824613741004,1353.4086996815,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8666666666666667,0.703186733179637,0.9469034451594526
hs100,1.0,125,30,0,0,0,27,1.0276661600963641,0.41457604222505,1389.7399512642,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9,0.7437891742081593,0.9654001112526658
hs100,1.0,150,30,0,0,0,27,1.0227552874887507,0.415414338755555,1417.0218287876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9,0.7437891742081593,0.9654001112526658
hs100,1.0,200,30,0,0,0,28,1.0159235943743616,0.41837923100523,1449.7103104071998,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9333333333333333,0.7867654163738308,0.9815229762087295
hs100,1.0,250,30,2,0,0,28,1.0081042367213464,0.414379491635795,1480.8482652418,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9333333333333333,0.7867654163738308,0.9815229762087295
hs100,1.0,300,30,13,0,0,29,1.0024751169286055,0.414855738135,1492.908602152,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9666666666666667,0.8332960900859082,0.9940914096183874
hs150,1.5,40,30,0,0,0,21,1.0837421352066445,0.42163420819184,1264.7238803144,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs150,1.5,60,30,0,0,0,21,1.0695195610797361,0.417647200492475,1291.7325777857,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs150,1.5,80,30,0,0,0,25,1.0589052305413809,0.41914816446193504,1318.1652066396,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8333333333333334,0.6643564949358398,0.9266345762815145
hs150,1.5,100,30,0,0,0,26,1.0512855268372654,0.422561771847285,1339.33472054045,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8666666666666667,0.703186733179637,0.9469034451594526
hs150,1.5,125,30,0,0,0,27,1.0436481474982917,0.42325871079169497,1360.5042362841,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9,0.7437891742081593,0.9654001112526658
hs150,1.5,150,30,0,0,0,27,1.036800345438239,0.42753761503307997,1396.50039529165,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9,0.7437891742081593,0.9654001112526658
hs150,1.5,200,30,0,0,0,29,1.0278138252361555,0.42422748287113,1435.26338400105,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9666666666666667,0.8332960900859082,0.9940914096183874
hs150,1.5,250,30,0,0,0,30,1.0193475265297012,0.42620893033524,1476.8526420027001,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,1.0,0.8864866068260312,0.9999999999999999
hs150,1.5,300,30,0,0,0,30,1.0131475417972604,0.42481960643423,1522.14601287205,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,1.0,0.8864866068260312,0.9999999999999999
hs200,2.0,40,30,0,0,0,21,1.09545805466762,0.42695998993094997,1227.63790320615,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7,0.5212421254128504,0.8333525173175619
hs200,2.0,60,30,0,0,0,22,1.0823792923203839,0.421277599373655,1291.0692551968,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.7333333333333333,0.555520383048111,0.8581733668040368
hs200,2.0,80,30,0,0,0,25,1.0710066863431416,0.42995809280342,1291.6699948672,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8333333333333334,0.6643564949358398,0.9266345762815145
hs200,2.0,100,30,0,0,0,26,1.0609397853516245,0.427818617886525,1346.8515436725002,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.8666666666666667,0.703186733179637,0.9469034451594526
hs200,2.0,125,30,0,0,0,27,1.0533003718796046,0.43089021397842,1368.9862623971999,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9,0.7437891742081593,0.9654001112526658
hs200,2.0,150,30,0,0,0,27,1.0458404807206458,0.43280447143719003,1391.1209803877,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.9,0.7437891742081593,0.9654001112526658
hs200,2.0,200,30,0,0,0,30,1.0347755472620244,0.4278204025315,1428.8112367753502,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,1.0,0.8864866068260312,0.9999999999999999
hs200,2.0,250,30,0,0,0,30,1.0292729439834072,0.43101900209818,1469.4531174233,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,1.0,0.8864866068260312,0.9999999999999999
hs200,2.0,300,30,0,0,0,30,1.0229686893067271,0.433326849825105,1491.2873036478,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,1.0,0.8864866068260312,0.9999999999999999
