case,heat_scale,grains,entered_lcfs,entered_core,lower_wall,evaporated,entered_lcfs_fraction,entered_lcfs_lo95,entered_lcfs_hi95,entered_core_fraction,entered_core_lo95,entered_core_hi95,lower_wall_fraction,lower_wall_lo95,lower_wall_hi95,evaporated_fraction,evaporated_lo95,evaporated_hi95
hs000,0.0,270,132,16,25,0,0.4888888888888889,0.4298391622499765,0.5482503497405046,0.05925925925925926,0.03680188195465954,0.09408209366775487,0.09259259259259259,0.06350416536271027,0.13311127428826103,0.0,0.0,0.014028039571646583
hs025,0.25,270,117,0,0,140,0.43333333333333335,0.37556983364894436,0.49296723829394185,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.5185185185185185,0.4590787884649715,0.5774386915508934
hs050,0.5,270,78,0,0,201,0.28888888888888886,0.23808624999456135,0.34561447782457827,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.7444444444444445,0.6892413418306098,0.7927893943788074
hs075,0.75,270,44,0,0,225,0.16296296296296298,0.12369248920166447,0.21168937450959363,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.8333333333333334,0.7842703408723549,0.873044299413214
hs100,1.0,270,15,0,0,232,0.05555555555555555,0.03395302728618324,0.08962745233305817,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.8592592592592593,0.8127243938360927,0.8957147184716873
hs150,1.5,270,0,0,0,236,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.8740740740740741,0.829183351723403,0.908469744597069
hs200,2.0,270,0,0,0,238,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.0,0.0,0.014028039571646583,0.8814814814814815,0.8374755031866067,0.9147845851402113
