# dist_mm,OpenEdge GPU (4 x A100):chord,OpenEdge GPU (4 x A100):axis,OpenEdge GPU (4 x A100):dens,OpenEdge CPU (128 MPI ranks):chord,OpenEdge CPU (128 MPI ranks):axis,OpenEdge CPU (128 MPI ranks):dens
# OpenEdge GPU (4 x A100):step=10000,OpenEdge CPU (128 MPI ranks):step=10000
-1.948228971389770470e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.634687721389770587e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.321145971389770635e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.007603471389770577e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.940609713897707422e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.805199713897706726e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.697997138977070108e-02,2.426758604886005422e-01,8.561804300082381802e-01,1.000000000000000000e+00,2.429953364917044889e-01,8.583344902918685904e-01,1.000000000000000000e+00
2.465600286102292427e-01,8.902484669854446864e-01,9.010129478217530075e-01,9.805073538261410704e-01,8.927486514192516376e-01,9.021126818481782772e-01,9.792402095981661558e-01
5.601025286102294665e-01,9.238231047928120443e-01,9.339766839862970738e-01,9.495584338995102236e-01,9.261870835354601983e-01,9.338175847413237030e-01,9.470141260441898856e-01
8.736475286102295401e-01,9.540204532779951174e-01,9.639143191023006318e-01,9.178641534677028924e-01,9.574965116863213277e-01,9.663213704415252181e-01,9.178471435462575156e-01
1.187190028610229264e+00,9.746210280004378168e-01,9.826701623120376317e-01,8.874379153911735596e-01,9.775786956916946435e-01,9.837074237179886937e-01,8.861453299803624395e-01
1.500730028610229416e+00,9.881961767544253927e-01,9.950003672307350389e-01,8.572620794712628722e-01,9.913395413282032331e-01,9.940591412124614168e-01,8.543017773015527672e-01
1.814270028610229568e+00,9.966458270243729878e-01,1.000000000000000000e+00,8.279000221674769344e-01,9.982523515019253724e-01,9.998529609819474251e-01,8.257008798592451182e-01
2.127810028610229498e+00,1.000000000000000000e+00,9.991747029302896488e-01,7.994078420270056551e-01,9.980649569821425926e-01,1.000000000000000000e+00,7.980599981163768453e-01
2.441352528610229111e+00,9.957239785250499020e-01,9.940595709391321089e-01,7.711606902984861067e-01,1.000000000000000000e+00,9.961990977464504349e-01,7.708808129718409674e-01
2.754897528610229518e+00,9.884734126537846333e-01,9.823631943981288028e-01,7.427380101908362953e-01,9.922985105485291335e-01,9.864199717664657863e-01,7.439331266891761052e-01
3.068440028610229131e+00,9.821719071621770603e-01,9.708715405093902850e-01,7.172659582509331999e-01,9.848307870876409353e-01,9.736114654907706001e-01,7.174853292140042083e-01
3.381980028610229283e+00,9.708414985291575761e-01,9.544596191880017066e-01,6.906864964819766639e-01,9.729904253740913056e-01,9.576671277163503193e-01,6.912684755334367326e-01
3.695520028610229435e+00,9.570151933786559262e-01,9.352992518419507295e-01,6.650910875129514288e-01,9.582923325999309627e-01,9.411058671368273121e-01,6.675402092520295039e-01
4.009060028610228699e+00,9.416701139983408853e-01,9.136274531886416916e-01,6.393112437358955402e-01,9.451303426696036070e-01,9.207573262123847080e-01,6.426834494339281889e-01
4.322602528610228312e+00,9.260741706593815792e-01,8.944990032641471078e-01,6.171973458721312644e-01,9.284374161524936442e-01,8.981117962066661464e-01,6.181347161390993161e-01
4.636147528610228719e+00,9.100890943548033407e-01,8.706040860698143202e-01,5.933332032236569020e-01,9.119830299658234773e-01,8.751907284293287681e-01,5.949623706170142912e-01
4.949690028610229220e+00,8.930552450642035289e-01,8.484295659106045884e-01,5.716717160837635481e-01,8.957052230532327464e-01,8.522826465106356775e-01,5.728268370368181372e-01
5.263230028610229816e+00,8.729422000112373459e-01,8.250136325215582378e-01,5.505398685679278037e-01,8.792532457723687411e-01,8.273656657357286726e-01,5.507239390246420063e-01
5.576770028610228636e+00,8.535156056947436065e-01,8.007166349237957448e-01,5.296206157168953377e-01,8.595559257469549408e-01,8.026532314880701069e-01,5.295693883623512344e-01
5.890310028610229232e+00,8.341997782036484343e-01,7.763771836791426573e-01,5.094116535600440310e-01,8.427007261169910945e-01,7.786900004171811718e-01,5.096472183429789915e-01
6.203852528610228845e+00,8.178764405669751714e-01,7.536213821547148584e-01,4.910967481162750725e-01,8.213678819116055907e-01,7.544813792823972243e-01,4.904232871369391122e-01
6.517397528610230140e+00,7.983846493697011049e-01,7.288679388548301441e-01,4.719416436431409512e-01,8.012469858115569554e-01,7.300786175715749948e-01,4.715391466263710862e-01
6.830940028610230641e+00,7.783949084561998522e-01,7.063008628831676239e-01,4.547619253271888429e-01,7.837087112679081979e-01,7.083671300216395350e-01,4.549477442960759288e-01
