# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:49 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.25911E-02   1.52392E+20   6.13206E-01   6.16018E-01   5.45488E+05   2.20450E+05   3.25038E+05   1.20806E+05   9.96439E+04   7.41680E+04   1.46282E+05   9.85829E+03   1.10948E+05  -1.16924E-01   2.53910E+00  -2.91415E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.38848E+01   2.18361E+01
 -8.55173E-03   2.14447E+20   6.62651E-01   6.64298E-01   6.16302E+05   2.91441E+05   3.24861E+05   1.80065E+05   1.11375E+05   8.89492E+04   2.02491E+05   1.70681E+04   1.62997E+05  -9.59053E-02   2.53772E+00  -2.91035E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.77696E+01   2.36177E+01
 -4.85581E-03   2.86418E+20   7.26291E-01   7.27404E-01   7.14300E+05   3.90947E+05   3.23353E+05   2.53417E+05   1.37530E+05   1.14665E+05   2.76282E+05   2.59033E+04   2.27513E+05  -7.14646E-02   2.53647E+00  -2.90687E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.39353E+01   2.68383E+01
 -1.55271E-03   3.51543E+20   8.02718E-01   8.07653E-01   8.76640E+05   5.54116E+05   3.22523E+05   3.12540E+05   2.41576E+05   1.79059E+05   3.75058E+05   2.31463E+04   2.89394E+05  -2.90390E-02   2.53534E+00  -2.90377E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.02270E+01   3.49406E+01
  4.17128E-03   4.42435E+20   8.24406E-01   8.25108E-01   9.74907E+05   6.54301E+05   3.20606E+05   4.18726E+05   2.35575E+05   1.95422E+05   4.58880E+05   4.33828E+04   3.75344E+05   2.44057E-03   2.53340E+00  -2.89838E+00   6.60146E+08   7.78755E+08   4.05481E+07   8.72579E+01   3.00223E+01
  1.30727E-02   4.73566E+20   8.21508E-01   8.23297E-01   1.05169E+06   7.21300E+05   3.30393E+05   4.47405E+05   2.73896E+05   2.27624E+05   4.93676E+05   5.08528E+04   3.96552E+05   7.63588E-03   2.53040E+00  -2.89000E+00   1.94569E+08   2.28946E+08   1.18707E+07   7.22109E+01   2.23096E+01
  2.30545E-02   4.42529E+20   7.70157E-01   7.69374E-01   1.02037E+06   6.85279E+05   3.35092E+05   4.11944E+05   2.73335E+05   2.22526E+05   4.62753E+05   4.61166E+04   3.65827E+05   1.34539E-02   2.52703E+00  -2.88060E+00   6.83830E+07   8.02348E+07   4.14149E+06   6.65384E+01   1.93384E+01
  3.40585E-02   3.56710E+20   7.49210E-01   7.47657E-01   8.90856E+05   5.56675E+05   3.34181E+05   3.25265E+05   2.31410E+05   1.82562E+05   3.74113E+05   3.32107E+04   2.92054E+05   1.98781E-02   2.52343E+00  -2.87021E+00   2.20679E+07   2.58090E+07   1.33044E+06   6.25671E+01   1.72725E+01
  4.60801E-02   2.57750E+20   7.08539E-01   7.07987E-01   7.30209E+05   3.99291E+05   3.30919E+05   2.28607E+05   1.70684E+05   1.35501E+05   2.63790E+05   2.53423E+04   2.03265E+05   2.68820E-02   2.51960E+00  -2.85881E+00   9.26003E+06   1.07911E+07   5.52412E+05   5.96792E+01   1.57735E+01
  5.90806E-02   1.58956E+20   6.63411E-01   6.62117E-01   5.82957E+05   2.57119E+05   3.25838E+05   1.36072E+05   1.21047E+05   9.22695E+04   1.64849E+05   1.41462E+04   1.21925E+05   3.44396E-02   2.51536E+00  -2.84652E+00   4.25412E+06   4.93847E+06   2.51525E+05   5.72566E+01   1.45226E+01
