# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:48 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.25911E-02   3.68860E+20   7.51096E-01   7.54041E-01   1.45439E+06   1.09601E+06   3.58378E+05   3.39232E+05   7.56777E+05   5.57394E+05   5.38615E+05   3.21265E+04   3.07105E+05  -1.16924E-01   2.53910E+00  -2.91415E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.38848E+01   2.18361E+01
 -8.55173E-03   5.84667E+20   8.06783E-01   8.02143E-01   2.05781E+06   1.64081E+06   4.16997E+05   5.66992E+05   1.07382E+06   8.04416E+05   8.36394E+05   5.90953E+04   5.07896E+05  -9.59053E-02   2.53772E+00  -2.91035E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.77696E+01   2.36177E+01
 -4.85581E-03   9.45197E+20   8.80528E-01   8.83315E-01   3.03894E+06   2.55367E+06   4.85271E+05   9.47952E+05   1.60572E+06   1.22692E+06   1.32675E+06   1.12414E+05   8.35538E+05  -7.14646E-02   2.53647E+00  -2.90687E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.39353E+01   2.68383E+01
 -1.55271E-03   1.44593E+21   9.61577E-01   9.63846E-01   4.36207E+06   3.80146E+06   5.60608E+05   1.52871E+06   2.27275E+06   1.77888E+06   2.02259E+06   2.01395E+05   1.32732E+06  -2.90390E-02   2.53534E+00  -2.90377E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.02270E+01   3.49406E+01
  4.17128E-03   2.42607E+21   9.29154E-01   9.23480E-01   7.49250E+06   6.79697E+06   6.95528E+05   2.64016E+06   4.15680E+06   3.23219E+06   3.56478E+06   3.47015E+05   2.29315E+06   2.44057E-03   2.53340E+00  -2.89838E+00   5.30631E+08   6.43828E+08   3.35515E+07   8.72579E+01   3.00223E+01
  1.30727E-02   1.86732E+21   8.95157E-01   8.86392E-01   6.86947E+06   6.16140E+06   7.08069E+05   1.99618E+06   4.16523E+06   3.16721E+06   2.99420E+06   2.76187E+05   1.71999E+06   7.63588E-03   2.53040E+00  -2.89000E+00   2.17093E+08   2.58842E+08   1.34315E+07   7.22109E+01   2.23096E+01
  2.30545E-02   1.20095E+21   8.10898E-01   8.04065E-01   4.50804E+06   3.95302E+06   5.55023E+05   1.19183E+06   2.76118E+06   2.06188E+06   1.89114E+06   1.45386E+05   1.04645E+06   1.34539E-02   2.52703E+00  -2.88060E+00   1.47872E+08   1.74418E+08   9.00977E+06   6.65384E+01   1.93384E+01
  3.40585E-02   6.24094E+20   7.06335E-01   7.06601E-01   2.36263E+06   1.95579E+06   4.06834E+05   5.47296E+05   1.40850E+06   1.03561E+06   9.20180E+05   5.79975E+04   4.89299E+05   1.98781E-02   2.52343E+00  -2.87021E+00   9.51015E+07   1.11164E+08   5.73449E+06   6.25671E+01   1.72725E+01
  4.60801E-02   3.50377E+20   5.92277E-01   5.91459E-01   1.24729E+06   9.49572E+05   2.97722E+05   2.72762E+05   6.76810E+05   4.92543E+05   4.57029E+05   2.27792E+04   2.49983E+05   2.68820E-02   2.51960E+00  -2.85881E+00   2.25949E+07   2.61979E+07   1.34199E+06   5.96792E+01   1.57735E+01
  5.90806E-02   1.96940E+20   4.99253E-01   4.96547E-01   7.28020E+05   5.05810E+05   2.22210E+05   1.39381E+05   3.66429E+05   2.64417E+05   2.41393E+05   1.00840E+04   1.29297E+05   3.44396E-02   2.51536E+00  -2.84652E+00   9.86655E+06   1.13550E+07   5.78681E+05   5.72566E+01   1.45226E+01
