# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:48 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.45365E-01   1.29774E+18   1.28328E-01   1.35512E-01   1.07353E+04   1.16612E+03   9.56918E+03   3.61069E+02   8.05053E+02   5.47865E+02   6.18257E+02   1.91680E+01   3.41901E+02  -3.31814E-01   3.38610E+00  -3.74691E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.28691E+01   1.63258E+01
 -1.35251E-01   1.34412E+18   1.33818E-01   1.42743E-01   1.20363E+04   2.00088E+03   1.00355E+04   3.57331E+02   1.64355E+03   1.09775E+03   9.03131E+02   1.83928E+01   3.38938E+02  -3.18902E-01   3.38757E+00  -3.73690E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.34229E+01   1.65399E+01
 -1.25208E-01   2.19515E+18   1.40430E-01   1.40927E-01   1.40148E+04   3.44120E+03   1.05736E+04   6.03737E+02   2.83747E+03   1.89690E+03   1.54430E+03   3.34718E+01   5.70266E+02  -3.05701E-01   3.38902E+00  -3.72696E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.42706E+01   1.70441E+01
 -1.15254E-01   3.69844E+18   1.61484E-01   1.62138E-01   1.85305E+04   7.19700E+03   1.13335E+04   1.08631E+03   6.11070E+03   4.07646E+03   3.12054E+03   6.34296E+01   1.02288E+03  -2.92224E-01   3.39046E+00  -3.71711E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.49942E+01   1.73532E+01
 -1.05418E-01   6.58947E+18   1.87584E-01   1.91064E-01   2.61107E+04   1.41202E+04   1.19906E+04   2.09438E+03   1.20258E+04   8.04199E+03   6.07820E+03   1.44360E+02   1.95002E+03  -2.78434E-01   3.39189E+00  -3.70738E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.59655E+01   1.78403E+01
 -9.57386E-02   9.30958E+18   2.04053E-01   2.01798E-01   2.92250E+04   1.64554E+04   1.27696E+04   2.71386E+03   1.37416E+04   8.98758E+03   7.46786E+03  -3.68334E+01   2.75069E+03  -2.64292E-01   3.39329E+00  -3.69781E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.69729E+01   1.83707E+01
 -8.62136E-02   1.44269E+19   2.69564E-01   2.71994E-01   3.19870E+04   1.86641E+04   1.33229E+04   5.23504E+03   1.34291E+04   9.09992E+03   9.56419E+03   2.80743E+02   4.95430E+03  -2.49819E-01   3.39466E+00  -3.68838E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.79294E+01   1.87742E+01
 -7.68767E-02   2.09464E+19   3.06781E-01   3.01400E-01   4.11834E+04   2.68891E+04   1.42944E+04   7.82235E+03   1.90667E+04   1.28739E+04   1.40152E+04   3.52328E+02   7.47002E+03  -2.34998E-01   3.39600E+00  -3.67914E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.91796E+01   1.94916E+01
 -6.77751E-02   3.19334E+19   4.28190E-01   4.22985E-01   5.31362E+04   3.73371E+04   1.57991E+04   1.34200E+04   2.39171E+04   1.58583E+04   2.14788E+04   1.51388E+02   1.32686E+04  -2.19781E-01   3.39730E+00  -3.67013E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.04098E+01   2.00672E+01
 -5.89405E-02   4.77231E+19   5.79167E-01   5.67770E-01   7.70678E+04   5.94727E+04   1.75951E+04   2.70054E+04   3.24672E+04   2.51403E+04   3.43324E+04   3.81833E+03   2.31871E+04  -2.04175E-01   3.39856E+00  -3.66139E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.17717E+01   2.07571E+01
 -5.04184E-02   7.20982E+19   7.78252E-01   7.76221E-01   9.95762E+04   7.98244E+04   1.97519E+04   4.32635E+04   3.65609E+04   2.72804E+04   5.25440E+04   3.27005E+03   3.99935E+04  -1.88133E-01   3.39978E+00  -3.65295E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.36328E+01   2.16691E+01
 -4.22419E-02   1.16419E+20   9.93115E-01   1.00333E+00   1.54687E+05   1.31842E+05   2.28453E+04   8.60252E+04   4.58169E+04   4.24268E+04   8.94153E+04   1.23378E+04   7.36874E+04  -1.71538E-01   3.40095E+00  -3.64486E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.52617E+01   2.24478E+01
 -3.44473E-02   2.04715E+20   1.12906E+00   1.14913E+00   2.80777E+05   2.52671E+05   2.81055E+04   1.67817E+05   8.48541E+04   8.44971E+04   1.68174E+05   2.87715E+04   1.39045E+05  -1.54278E-01   3.40207E+00  -3.63715E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.74115E+01   2.35030E+01
 -2.70715E-02   3.75651E+20   1.30987E+00   1.34944E+00   4.92637E+05   4.54422E+05   3.82154E+04   3.14150E+05   1.40272E+05   1.37322E+05   3.17100E+05   4.52015E+04   2.68948E+05  -1.36177E-01   3.40312E+00  -3.62985E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.00209E+01   2.49076E+01
 -2.01491E-02   6.99405E+20   1.42525E+00   1.47070E+00   9.74198E+05   9.15074E+05   5.91235E+04   6.59179E+05   2.55895E+05   3.16052E+05   5.99022E+05   1.48000E+05   5.11180E+05  -1.16924E-01   3.40411E+00  -3.62299E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.31321E+01   2.65112E+01
 -1.37280E-02   1.32483E+21   1.57234E+00   1.63770E+00   1.93248E+06   1.82586E+06   1.06616E+05   1.31393E+06   5.11936E+05   6.20911E+05   1.20495E+06   2.84711E+05   1.02922E+06  -9.59053E-02   3.40503E+00  -3.61664E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.68110E+01   2.81343E+01
 -7.83594E-03   2.47528E+21   1.81417E+00   1.87976E+00   3.69545E+06   3.49393E+06   2.01518E+05   2.63273E+06   8.61197E+05   1.18313E+06   2.31080E+06   6.17559E+05   2.01517E+06  -7.14646E-02   3.40588E+00  -3.61081E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.23804E+01   3.10559E+01
