# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:49 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.45365E-01   2.61670E+17   9.82616E-02   1.08373E-01   9.24648E+04  -1.15193E+03   9.36167E+04   6.49960E+01  -1.21692E+03  -8.60108E+02  -2.91820E+02   2.96933E+00   6.20267E+01  -3.31814E-01   3.38610E+00  -3.74691E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.28691E+01   1.63258E+01
 -1.35251E-01   4.50347E+17   9.29738E-02   9.61985E-02   9.86596E+04   2.22850E+03   9.64311E+04   1.09667E+02   2.11883E+03   1.50648E+03   7.22010E+02   3.75172E+00   1.05916E+02  -3.18902E-01   3.38757E+00  -3.73690E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.34229E+01   1.65399E+01
 -1.25208E-01   9.35384E+17   1.05471E-01   1.10490E-01   1.01349E+05   1.82267E+03   9.95259E+04   2.26377E+02   1.59629E+03   1.14187E+03   6.80797E+02   9.73647E+00   2.16640E+02  -3.05701E-01   3.38902E+00  -3.72696E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.42706E+01   1.70441E+01
 -1.15254E-01   1.26088E+18   8.79430E-02   8.11749E-02   1.10855E+05   7.50414E+03   1.03351E+05   2.62341E+02   7.24180E+03   5.13941E+03   2.36473E+03   3.31656E+00   2.59024E+02  -2.92224E-01   3.39046E+00  -3.71711E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.49942E+01   1.73532E+01
 -1.05418E-01   1.72507E+18   1.25500E-01   1.35196E-01   1.14216E+05   7.56588E+03   1.06650E+05   4.07213E+02   7.15867E+03   5.09513E+03   2.47075E+03   1.79986E+01   3.89215E+02  -2.78434E-01   3.39189E+00  -3.70738E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.59655E+01   1.78403E+01
 -9.57386E-02   2.23379E+18   1.29179E-01   1.38332E-01   1.17681E+05   7.63365E+03   1.10048E+05   5.44025E+02   7.08963E+03   5.05414E+03   2.57951E+03   2.59780E+01   5.18047E+02  -2.64292E-01   3.39329E+00  -3.69781E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.69729E+01   1.83707E+01
 -8.62136E-02   3.53648E+18   1.37133E-01   1.39842E-01   1.24459E+05   1.15937E+04   1.12866E+05   8.98969E+02   1.06947E+04   7.62904E+03   3.96463E+03   4.40516E+01   8.54917E+02  -2.49819E-01   3.39466E+00  -3.68838E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.79294E+01   1.87742E+01
 -7.68767E-02   6.42564E+18   1.43012E-01   1.44697E-01   1.34677E+05   1.81143E+04   1.16562E+05   1.65881E+03   1.64555E+04   1.17447E+04   6.36961E+03   7.39967E+01   1.58482E+03  -2.34998E-01   3.39600E+00  -3.67914E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.91796E+01   1.94916E+01
 -6.77751E-02   9.74959E+18   1.38130E-01   1.37121E-01   1.56466E+05   3.50616E+04   1.21404E+05   2.30818E+03   3.27534E+04   2.33054E+04   1.17562E+04   7.57500E+01   2.23243E+03  -2.19781E-01   3.39730E+00  -3.67013E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.04098E+01   2.00672E+01
 -5.89405E-02   1.77190E+19   1.54830E-01   1.53761E-01   1.64644E+05   3.90164E+04   1.25627E+05   4.52596E+03   3.44904E+04   2.47026E+04   1.43138E+04   2.40985E+02   4.28498E+03  -2.04175E-01   3.39856E+00  -3.66139E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.17717E+01   2.07571E+01
