R_m Z_m Te_eV Ti_eV O1+_sput O2+_sput O3+_sput O4+_sput O5+_sput O6+_sput O7+_sput O8+_sput Total_sput
2.92952420e+00 -3.49692610e-01 1.94383802e+00 5.64784542e+00 1.73311342e-03 2.25712688e+07 1.61526196e-171 1.20882142e-187 4.55390209e-01 4.20730364e-210 3.84905774e-145 6.92919681e+11 6.92942252e+11
2.93386160e+00 -3.40623430e-01 1.95314878e+00 5.67517604e+00 2.18058105e-03 3.17422149e+07 1.39138644e-175 1.57357846e-182 3.38882789e-07 3.00377542e-217 5.40232545e-137 8.36234521e+11 8.36266263e+11
2.93808480e+00 -3.31500460e-01 1.96204698e+00 5.70129566e+00 2.71574403e-03 4.39691345e+07 1.81446910e-179 1.21558896e-177 4.71243096e-13 4.44597648e-224 3.30220252e-129 1.00079743e+12 1.00084140e+12
2.94219290e+00 -3.22325150e-01 1.97137163e+00 5.72866708e+00 3.41793725e-03 6.18629899e+07 1.54122858e-183 1.61038106e-172 3.43354186e-19 3.09700931e-231 4.76620543e-121 1.20807369e+12 1.20813555e+12
2.94618550e+00 -3.13098930e-01 2.83021475e+00 6.87870176e+00 5.25152635e+04 1.21536804e-151 6.12375618e-161 3.45389248e-73 2.17689495e-237 1.29998034e+13 4.36614275e+14 9.04630916e+14 1.35424499e+15
2.95006180e+00 -3.03823280e-01 3.18160892e+00 7.33514887e+00 2.92610159e+07 2.52179239e-224 1.43731673e-70 2.32501360e-180 2.43166843e-113 2.74638256e+14 1.78206281e+15 2.06551014e+15 4.12221123e+15
2.95382120e+00 -2.94499640e-01 3.16678623e+00 7.29912738e+00 1.80538116e+07 4.61534526e-220 2.76010956e-76 2.28908236e-173 1.03169988e-121 2.14356638e+14 1.58640597e+15 1.84339886e+15 3.64416148e+15
2.95746320e+00 -2.85129500e-01 3.15519822e+00 7.27061568e+00 1.16433886e+07 1.01616975e-216 8.36811390e-81 7.43126751e-168 2.48481190e-128 1.73977617e+14 1.42191063e+15 1.64934282e+15 3.24523108e+15
2.96098710e+00 -2.75714340e-01 3.16662565e+00 7.29678251e+00 1.44078627e+07 6.21947797e-220 1.31262525e-76 4.91257351e-173 3.35295431e-122 1.99271770e+14 1.45921474e+15 1.67258650e+15 3.33107303e+15
2.96439240e+00 -2.66255640e-01 3.17505583e+00 7.31631313e+00 1.73365476e+07 2.59464743e-222 1.75276662e-73 6.92723081e-177 1.24168474e-117 2.22110653e+14 1.50215990e+15 1.70969801e+15 3.43396858e+15
2.96767860e+00 -2.56754890e-01 3.18217895e+00 7.33281564e+00 2.02704545e+07 2.53137920e-224 7.66829816e-71 3.86231163e-180 9.00029092e-114 2.43435710e+14 1.53942166e+15 1.74168691e+15 3.52454431e+15
2.97084520e+00 -2.47213600e-01 3.19031247e+00 7.35165899e+00 2.42322305e+07 1.28061026e-226 7.94854844e-68 7.44046771e-184 2.30179408e-109 2.70298807e+14 1.58309062e+15 1.77893481e+15 3.63232427e+15
2.97389160e+00 -2.37633270e-01 4.92243312e+00 9.44237066e+00 7.45548538e-224 5.80890699e+08 1.16770879e-229 5.28271789e+12 1.74416776e+15 1.23915939e+17 5.54281548e+16 3.93466699e+16 2.20440215e+17
2.97681740e+00 -2.28015410e-01 4.90361149e+00 9.40110825e+00 2.67792068e-220 3.49644766e+03 2.18635759e-236 4.21669910e+12 1.57240218e+15 1.14116051e+17 5.04508452e+16 3.56666813e+16 2.01810196e+17
2.97962210e+00 -2.18361550e-01 4.88808334e+00 9.36622349e+00 2.35977211e-217 1.45286948e-01 4.87718342e-242 3.44622902e+12 1.42337936e+15 1.05472083e+17 4.59507141e+16 3.22488977e+16 1.85098521e+17
2.98230530e+00 -2.08673210e-01 4.88497625e+00 9.35600859e+00 1.06812360e-216 1.02478058e-02 1.49465366e-243 3.14365909e+12 1.33440140e+15 1.00232816e+17 4.29295273e+16 2.97704778e+16 1.74270366e+17
2.98486650e+00 -1.98951910e-01 4.89069143e+00 9.36698697e+00 9.74154396e-218 2.93504793e-01 1.08535845e-241 3.29337998e+12 1.35170074e+15 1.01238677e+17 4.32920669e+16 2.99544790e+16 1.75840217e+17
2.98730540e+00 -1.89199200e-01 4.89828950e+00 9.38158224e+00 4.03647288e-219 2.53868802e+01 3.23393568e-239 3.50351847e+12 1.37504426e+15 1.02591352e+17 4.37786984e+16 3.02007979e+16 1.77949396e+17
2.98962150e+00 -1.79416610e-01 4.90389519e+00 9.39235031e+00 3.85416472e-220 6.81837120e+02 2.16326932e-237 3.66709661e+12 1.39252246e+15 1.03600736e+17 4.41411588e+16 3.03837767e+16 1.79521861e+17
2.99181450e+00 -1.69605690e-01 5.56548194e+00 1.01286719e+01 1.28539372e-246 3.45491381e-108 2.01197757e-81 2.03001362e+14 4.27449918e+15 2.49407087e+17 9.58438725e+16 6.17607024e+16 4.11489163e+17
2.99388400e+00 -1.59767980e-01 7.38889911e+00 1.21394330e+01 1.11114490e-09 4.20266186e-105 4.47629894e+14 3.00786050e+15 2.95208719e+16 1.27902017e+18 4.10434470e+17 2.28545989e+17 1.95097700e+18
2.99582980e+00 -1.49905050e-01 7.36148358e+00 1.20869854e+01 1.37733000e-04 5.41089586e-112 4.93392951e+14 3.32414072e+15 3.26478705e+16 1.37639751e+18 4.54338971e+17 2.54677159e+17 2.12187904e+18
2.99765150e+00 -1.40018450e-01 7.33833025e+00 1.20416366e+01 3.01779996e+00 6.87514574e-118 5.37497386e+14 3.63107438e+15 3.57108452e+16 1.47283924e+18 4.97563132e+17 2.80391793e+17 2.29067358e+18
