id,species_type,species_id,diameter_um,radius_um,mass_kg,atoms_per_grain,diagnostic_number_weight,dropper_line,speed_m_s,angle_deg,z0_m,r0_m,vz0_m_s,vr0_m_s
1,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.0,-15.0,0.8413509771013569,0.5029559013148207,-0.9659258262890683,-0.25881904510252074
2,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.0,-7.5,0.8413509771013569,0.5029559013148207,-0.9914448613738104,-0.13052619222005157
3,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.0,0.0,0.8413509771013569,0.5029559013148207,-1.0,0.0
4,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.0,7.5,0.8413509771013569,0.5029559013148207,-0.9914448613738104,0.13052619222005157
5,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.0,15.0,0.8413509771013569,0.5029559013148207,-0.9659258262890683,0.25881904510252074
6,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.25,-15.0,0.8413509771013569,0.5029559013148207,-1.2074072828613354,-0.3235238063781509
7,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.25,-7.5,0.8413509771013569,0.5029559013148207,-1.239306076717263,-0.16315774027506447
8,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.25,0.0,0.8413509771013569,0.5029559013148207,-1.25,0.0
9,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.25,7.5,0.8413509771013569,0.5029559013148207,-1.239306076717263,0.16315774027506447
10,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.25,15.0,0.8413509771013569,0.5029559013148207,-1.2074072828613354,0.3235238063781509
11,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.5,-15.0,0.8413509771013569,0.5029559013148207,-1.4488887394336025,-0.3882285676537811
12,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.5,-7.5,0.8413509771013569,0.5029559013148207,-1.4871672920607155,-0.19578928833007736
13,1,grain_d040um,40,20.0,1.7894511754847454e-11,1552784850956868.2,1.0,16,1.5,0.0,0.8413509771013569,0.5029559013148207,-1.5,0.0
