id,dropper_line,speed_m_s,angle_deg,z0_m,r0_m,vz0_m_s,vr0_m_s
1,16,1.0,-15.0,0.8413509771013569,0.5029559013148207,-0.9659258262890683,-0.25881904510252074
2,16,1.0,-7.5,0.8413509771013569,0.5029559013148207,-0.9914448613738104,-0.13052619222005157
3,16,1.0,0.0,0.8413509771013569,0.5029559013148207,-1.0,0.0
4,16,1.0,7.5,0.8413509771013569,0.5029559013148207,-0.9914448613738104,0.13052619222005157
5,16,1.0,15.0,0.8413509771013569,0.5029559013148207,-0.9659258262890683,0.25881904510252074
6,16,1.25,-15.0,0.8413509771013569,0.5029559013148207,-1.2074072828613354,-0.3235238063781509
7,16,1.25,-7.5,0.8413509771013569,0.5029559013148207,-1.239306076717263,-0.16315774027506447
8,16,1.25,0.0,0.8413509771013569,0.5029559013148207,-1.25,0.0
9,16,1.25,7.5,0.8413509771013569,0.5029559013148207,-1.239306076717263,0.16315774027506447
10,16,1.25,15.0,0.8413509771013569,0.5029559013148207,-1.2074072828613354,0.3235238063781509
11,16,1.5,-15.0,0.8413509771013569,0.5029559013148207,-1.4488887394336025,-0.3882285676537811
12,16,1.5,-7.5,0.8413509771013569,0.5029559013148207,-1.4871672920607155,-0.19578928833007736
13,16,1.5,0.0,0.8413509771013569,0.5029559013148207,-1.5,0.0
14,16,1.5,7.5,0.8413509771013569,0.5029559013148207,-1.4871672920607155,0.19578928833007736
15,16,1.5,15.0,0.8413509771013569,0.5029559013148207,-1.4488887394336025,0.3882285676537811
16,17,1.0,-15.0,0.8450107599103642,0.5149081341594087,-0.9659258262890683,-0.25881904510252074
17,17,1.0,-7.5,0.8450107599103642,0.5149081341594087,-0.9914448613738104,-0.13052619222005157
18,17,1.0,0.0,0.8450107599103642,0.5149081341594087,-1.0,0.0
19,17,1.0,7.5,0.8450107599103642,0.5149081341594087,-0.9914448613738104,0.13052619222005157
20,17,1.0,15.0,0.8450107599103642,0.5149081341594087,-0.9659258262890683,0.25881904510252074
21,17,1.25,-15.0,0.8450107599103642,0.5149081341594087,-1.2074072828613354,-0.3235238063781509
22,17,1.25,-7.5,0.8450107599103642,0.5149081341594087,-1.239306076717263,-0.16315774027506447
23,17,1.25,0.0,0.8450107599103642,0.5149081341594087,-1.25,0.0
24,17,1.25,7.5,0.8450107599103642,0.5149081341594087,-1.239306076717263,0.16315774027506447
25,17,1.25,15.0,0.8450107599103642,0.5149081341594087,-1.2074072828613354,0.3235238063781509
26,17,1.5,-15.0,0.8450107599103642,0.5149081341594087,-1.4488887394336025,-0.3882285676537811
27,17,1.5,-7.5,0.8450107599103642,0.5149081341594087,-1.4871672920607155,-0.19578928833007736
28,17,1.5,0.0,0.8450107599103642,0.5149081341594087,-1.5,0.0
29,17,1.5,7.5,0.8450107599103642,0.5149081341594087,-1.4871672920607155,0.19578928833007736
30,17,1.5,15.0,0.8450107599103642,0.5149081341594087,-1.4488887394336025,0.3882285676537811
